title,date,content,rating
Quite something,15th June 2013,Found this new toothpaste to be the best I've tried. It feels very pleasant in the mouth and makes my teeth feel clean and fresh. My teeth do seem to be whiter and look better which in turn gives me more confidence.,5 stars
Refreshing,15th June 2013,This toothpaste was really good left my mouth feeling lovely and fresh all day. Would recommend this product for all the family.,5 stars
Extra clean feel,15th June 2013,I received a sample of this and after just one use teeth felt cleaner and breath stayed fresh for longer thanks to the micro-cleaning particles which help clean neglected areas. I couldn't go back to any other toothpaste after trying this.,5 stars
Ups the Game,15th June 2013,"Clean taste, dosn't froth out all over the place and leave you needing a face wash or a towel. Another small point but worth noting is that unlike sone other toothpastes this one dosn't leave a mass of residue of unused paste in the cap every time you use it.",4 stars
LIKE A CLEAN AT THE DENTIST,15th June 2013,"this product was brilliant i felt very confident about my teeth all day after brushing in the morning, and I actually looked forward to brushing them in the evening rather than it feeling like a chore. I loved the tiny particles in it and the taste was very refreshing. i thought the clear gel look was quite unique aswell. I will be deffinatley buying it more often.",5 stars
Your at Home Dental Hygeinist,15th June 2013,This toothpaste is scrummy..a delightful taste and texture. I found it made my mouth and teeth feel thoroughly cleansed and definitely less build up of plaque. Well done Colgate,4 stars
Good quality produce,15th June 2013,"This left mt teeth feeling really smooth and squeaky clean, tasted good, mouth felt fresh afterwards and does seem to clean between the teeth also",5 stars
bit too gritty for me,15th June 2013,nice minty flavour but I was expecting the product to foam up more and get between teeth rather than gritty bits. I was still crunching on it for a while after - not for me I am afraid.,3 stars
Your at Home Dental Hygeinist,15th June 2013,This toothpaste is scrummy..a delightful taste and texture. I found it made my mouth and teeth feel thoroughly cleansed and definitely less build up of plaque. Well done Colgate,4 stars
Colgate Total Interdental really excels.,15th June 2013,"Colgate Total Interdental continues in the excellent Colgate toothpaste tradition, but excels in so far that it has a lovely flavour, makes your teeth feel exceptionally clean, and gives you the added confidence that it has also really cleaned in between your teeth, which helps to prevent gum disease.",5 stars
LIKE A CLEAN AT THE DENTIST,15th June 2013,"this product was brilliant i felt very confident about my teeth all day after brushing in the morning, and I actually looked forward to brushing them in the evening rather than it feeling like a chore. I loved the tiny particles in it and the taste was very refreshing. i thought the clear gel look was quite unique aswell. I will be deffinatley buying it more often.",5 stars
bit too gritty for me,15th June 2013,nice minty flavour but I was expecting the product to foam up more and get between teeth rather than gritty bits. I was still crunching on it for a while after - not for me I am afraid.,3 stars
Quite something,15th June 2013,Found this new toothpaste to be the best I've tried. It feels very pleasant in the mouth and makes my teeth feel clean and fresh. My teeth do seem to be whiter and look better which in turn gives me more confidence.,5 stars
bit too gritty for me,15th June 2013,nice minty flavour but I was expecting the product to foam up more and get between teeth rather than gritty bits. I was still crunching on it for a while after - not for me I am afraid.,3 stars
Quite something,15th June 2013,Found this new toothpaste to be the best I've tried. It feels very pleasant in the mouth and makes my teeth feel clean and fresh. My teeth do seem to be whiter and look better which in turn gives me more confidence.,5 stars
really fresh tasting,15th June 2013,I tried a small sample tube of Colgate Total interdental and was impressed a really fresh taste and great long lasting flavour...unfortunately due to the size of the tube I didn't notice any whitening effects to my teeth but would certainly to be willing to buy the full size tube,5 stars
Ups the Game,15th June 2013,"Clean taste, dosn't froth out all over the place and leave you needing a face wash or a towel. Another small point but worth noting is that unlike sone other toothpastes this one dosn't leave a mass of residue of unused paste in the cap every time you use it.",4 stars
Definitely different,15th June 2013,"This looks different from most other toothpastes as it isn't white. When I first started to clean my teeth I thought it was going to be a little ""hot"", but it actually wasn't. It felt fresh in my mouth at the time and my teeth afterwards felt really shiny and clean, but it feels a little ""gritty"" afterwards and the lingering taste is a little ""odd"". i can't say it's minty so i don't know what it tastes like to be truthful. It isn't unpleasant, just a bit different. But I should imagine it is leaving my breath fresh",4 stars
the product does the job well,14th June 2013,the product cleands my teeth and they are fresh and minty,5 stars
the product does the job well,14th June 2013,the product cleands my teeth and they are fresh and minty,5 stars
Interdental is new,14th June 2013,This toothpaste certainly cleans my teeth well and leaves them feeling clean - especially between the teeth.,5 stars
Interdental is new,14th June 2013,This toothpaste certainly cleans my teeth well and leaves them feeling clean - especially between the teeth.,5 stars
Usual Colgate Excellence,14th June 2013,"Lovely clean feel with good lasting freshness, same great taste. I thought the paste in the sample tube seemed a little thick and as I have not yet had chance to continue to use Interdental, I'm not sure how 'unique' it's properties are. Would buy again at the right price. Recommended!",5 stars
"Lush,Brush!",14th June 2013,Unlike any other toothpaste i've ever used this product leaves my teeth feeling like i've just been to the hygienist at the dentist,5 stars
the product does the job well,14th June 2013,the product cleands my teeth and they are fresh and minty,5 stars
Interdental is new,14th June 2013,This toothpaste certainly cleans my teeth well and leaves them feeling clean - especially between the teeth.,5 stars
Advanced cleaning,14th June 2013,What a great product! From the first time I used this my teeth felt so fresh and clean.I didn't need to floss and the sensation lasted all day!,5 stars
Brighter than white,14th June 2013,"Gave that fresh feeling all day,with a bright white smile.",5 stars
makes teeth sparkle,14th June 2013,"I really like this toothpaste because it has a thick texture to it which seems to cling to teeth. It doesn't taste very good , would be better if it was a stronger mint flavour.",5 stars
amazing feeling,14th June 2013,After one use felt as good as a dentist clean. Would recommend this to anyone. Great value foe money.,5 stars
Colgate,14th June 2013,"Excellent product, very impressed. Dentist recommended me for sensitive gums.",5 stars
Colgate Interdental,14th June 2013,"As toothpastes go, this stood out. Mouth felt good after use.",5 stars
Cleaner teeth.,14th June 2013,"Great taste and fresh breath , it makes my teeth feel squeaky clean coupled with colgate mouthwash I feel sorted for the day.",5 stars
colgate interdental,14th June 2013,I was very pleased with the after taste and cleaning ability of this toothpaste. I found my teeth felt smoother and plaque free.,5 stars
superpower toothpaste,14th June 2013,"Colgate Total Interdental is my favourite toothpaste. It deep cleans between teeth more than any other toothpastes, I have sensitive teeth and gum and it doesn't hurt at all. And it is very value for money. I would certainly recommend it to friends and family. Thank you Colgate Total!",4 stars
clean feeling teeth for hours,14th June 2013,"I was very pleasantly surprised at the new interdental toothpaste as it worked really well and left my teeth feeling extra clean, especially in the hard to reach places. I even felt they were still shiny and bright after eating which was really good.",5 stars
colgate interdental,14th June 2013,this is a fresh and exciting product that does exactly as it states. will purchase again and again.,5 stars
Great product,14th June 2013,"Great product, leaves your mouth feeling fresh and clean",4 stars
the best,14th June 2013,i tried a lot of toothpastes but i just found the one.it does everything clean like no other because the feeling of clean teeth stays all day love it,5 stars
An intriguing experience .,14th June 2013,"This product had quite interesting features . It had quite a pleasant fresh favour , though I would have liked that to last longer . It also had a slightly gritty texture , which I rather like in a toothpaste , as I think it should have a slightly abrasive quality in order to assure me it is removing plaque properly . It seemed to have a slight translucency too , which was a little different . Over all it was quite an enjoyable product to use .",4 stars
Really clean feeling.,14th June 2013,"Very impressed with interdental, very fresh and clean.",5 stars
Product is not exceptioal,14th June 2013,"Although this is a good product, it needs to have somthing more, to be better than the rest on the market. the texture however , is very good .",4 stars
Interdental Toothpaste,14th June 2013,"Great taste and texture, will buy this toothpaste!!",5 stars
nice tingly feel in the mouth,14th June 2013,like the taste wasnt too overpowering that it burnt my mouth like some do loved the taste and the feel of my mouth and teeth afterwards,4 stars
Interdental is new,14th June 2013,This toothpaste certainly cleans my teeth well and leaves them feeling clean - especially between the teeth.,5 stars
Interdental is new,14th June 2013,This toothpaste certainly cleans my teeth well and leaves them feeling clean - especially between the teeth.,5 stars
the product does the job well,14th June 2013,the product cleands my teeth and they are fresh and minty,5 stars
the product does the job well,14th June 2013,the product cleands my teeth and they are fresh and minty,5 stars
Interdental,14th June 2013,I like the idea of an interdental toothpaste but found the flavour in this product to be over powering. Sorry but you haven't persuaded me to buy it.,3 stars
Advanced cleaning,14th June 2013,What a great product! From the first time I used this my teeth felt so fresh and clean.I didn't need to floss and the sensation lasted all day!,5 stars
superpower toothpaste,14th June 2013,"Colgate Total Interdental is my favourite toothpaste. It deep cleans between teeth more than any other toothpastes, I have sensitive teeth and gum and it doesn't hurt at all. And it is very value for money. I would certainly recommend it to friends and family. Thank you Colgate Total!",4 stars
Great product,14th June 2013,"Great product, leaves your mouth feeling fresh and clean",4 stars
Cleaner teeth.,14th June 2013,"Great taste and fresh breath , it makes my teeth feel squeaky clean coupled with colgate mouthwash I feel sorted for the day.",5 stars
Interdental,14th June 2013,I like the idea of an interdental toothpaste but found the flavour in this product to be over powering. Sorry but you haven't persuaded me to buy it.,3 stars
Advanced cleaning,14th June 2013,What a great product! From the first time I used this my teeth felt so fresh and clean.I didn't need to floss and the sensation lasted all day!,5 stars
superpower toothpaste,14th June 2013,"Colgate Total Interdental is my favourite toothpaste. It deep cleans between teeth more than any other toothpastes, I have sensitive teeth and gum and it doesn't hurt at all. And it is very value for money. I would certainly recommend it to friends and family. Thank you Colgate Total!",4 stars
Great product,14th June 2013,"Great product, leaves your mouth feeling fresh and clean",4 stars
Cleaner teeth.,14th June 2013,"Great taste and fresh breath , it makes my teeth feel squeaky clean coupled with colgate mouthwash I feel sorted for the day.",5 stars
clean feeling teeth for hours,14th June 2013,"I was very pleasantly surprised at the new interdental toothpaste as it worked really well and left my teeth feeling extra clean, especially in the hard to reach places. I even felt they were still shiny and bright after eating which was really good.",5 stars
colgate interdental,14th June 2013,I was very pleased with the after taste and cleaning ability of this toothpaste. I found my teeth felt smoother and plaque free.,5 stars
Interdental Toothpaste,14th June 2013,"Great taste and texture, will buy this toothpaste!!",5 stars
Usual Colgate Excellence,14th June 2013,"Lovely clean feel with good lasting freshness, same great taste. I thought the paste in the sample tube seemed a little thick and as I have not yet had chance to continue to use Interdental, I'm not sure how 'unique' it's properties are. Would buy again at the right price. Recommended!",5 stars
"Lush,Brush!",14th June 2013,Unlike any other toothpaste i've ever used this product leaves my teeth feeling like i've just been to the hygienist at the dentist,5 stars
nice tingly feel in the mouth,14th June 2013,like the taste wasnt too overpowering that it burnt my mouth like some do loved the taste and the feel of my mouth and teeth afterwards,4 stars
Colgate,14th June 2013,"Excellent product, very impressed. Dentist recommended me for sensitive gums.",5 stars
colgate interdental,14th June 2013,"best toothpaste have ever used , lasting cleanliness and feelgood clean and taste and makes teeth look whiter longer",5 stars
amazing feeling,14th June 2013,After one use felt as good as a dentist clean. Would recommend this to anyone. Great value foe money.,5 stars
Product is not exceptioal,14th June 2013,"Although this is a good product, it needs to have somthing more, to be better than the rest on the market. the texture however , is very good .",4 stars
makes teeth sparkle,14th June 2013,"I really like this toothpaste because it has a thick texture to it which seems to cling to teeth. It doesn't taste very good , would be better if it was a stronger mint flavour.",5 stars
Interdental,14th June 2013,I like the idea of an interdental toothpaste but found the flavour in this product to be over powering. Sorry but you haven't persuaded me to buy it.,3 stars
Fresh feel,14th June 2013,Very good product. Leaves the mouth feeling totally refreshed with a lasting flavour .,4 stars
The product cleans and lasts,14th June 2013,This product really cleaned my teeth and they felt clean for ages after plus the flavour was really really lasted best toothpaste i've had in a long time,5 stars
colgate interdental,14th June 2013,this is a fresh and exciting product that does exactly as it states. will purchase again and again.,5 stars
An intriguing experience .,14th June 2013,"This product had quite interesting features . It had quite a pleasant fresh favour , though I would have liked that to last longer . It also had a slightly gritty texture , which I rather like in a toothpaste , as I think it should have a slightly abrasive quality in order to assure me it is removing plaque properly . It seemed to have a slight translucency too , which was a little different . Over all it was quite an enjoyable product to use .",4 stars
smells and tastes great,13th June 2013,i wear dentures and found this foams and cleans well making my 'teeth' feel really smooth. i love the taste and my breath stays fresh all day. will definately continue to buy.,5 stars
BRILLIANT,13th June 2013,"COLGATE IS GETTING BETTER AND BETTER ,THIS IS BRILLIANT. CLEANS BETTER AND LEAVE MOUTH FRESHER",5 stars
More than it says on the packet,13th June 2013,"I had my doubts that this would be as good as advertised. I was proved wrong, I even used it on my dental plate and it made it fresh all day. After using my mouth felt tingly I had clean teeth and a very fresh breath. Would recommend it to anyone",5 stars
Interdental,13th June 2013,Good but not perfect flavour. I was not impressed with the grey colour.,4 stars
A unique clean,13th June 2013,Colgate Total Interdental offers a unique clean! Smooth feeling teeth all day and when you wake up in the morning!,5 stars
colgate total interdental,13th June 2013,"Lovely minty taste, and leaves your mouth feeling super fresh. Does have a 'bitty' texture but soon got used to this",4 stars
Good New Product,13th June 2013,"A very fresh & clean tasting toothpaste, getting the immediate feeling that it is working wonders on your teeth the minute you start brushing. Will definitely be purchasing the product from now on.",4 stars
Best Toothpaste,13th June 2013,"Wonderful toothpaste to use, especially when searching for a toothpaste that suits you with any tooth or gum problems. This toothpaste seems to be continually cleaning even when asleep and is a joy to brush again in the morning, refreshing the mouth and whitening those teeth.",5 stars
the product makes you feel refreshed,13th June 2013,the product is really good at cleaning your teeth and making your mouth feel fresh and so clean. The taste could be more friendly ie minty or more appealing. would recommend to my friends and family,4 stars
unique slogan,13th June 2013,"worked well with my electric toothbrush and floss, left teeth feeling very smooth and clean and mouth fresh.",5 stars
Nice Clean Feel,13th June 2013,Another excellent product from a company you can rely on.,4 stars
This product does what is says,13th June 2013,I loved this product as my teeth felt very clean afterwards and my mouth felt very fresh for a long time.,5 stars
"Fantastic Interdental tooth ""scrub""",13th June 2013,"I loved this product because I have a back bar after having braces on my teeth so this toothpaste really helps get into the grooves and give my teeth a really good clean almost like a scrub! It helped rid any food particles that got stuck in my back bar, equally a great toothpaste for my teeth and literally left my teeth squeaky clean and shiny! I would recommend this product as my teeth felt like they've had a professional clean, and my breath was fresh!",5 stars
Best toothpaste,13th June 2013,Best toothpaste i have ever used and i will never use any other toothpaste .Great stuff.,5 stars
Definitely whiter!,13th June 2013,I preferred the flavour of this toothpaste to the one I normally use and like the fresh clean feeling it left in my mouth. I definitely thought my teeth appeared whiter.,5 stars
Total Interdental,13th June 2013,"I enjoyed using the product. Although it left my mouth feeling clean, I expected my mouth to feel a lot cleaner than it did. I expected there to be little bits in the actual paste to clean and leave my mouth cleaner. I would recommend this toothpaste to friends and family.",4 stars
For that super clean feeling.,13th June 2013,Having tried this product I will definitely be going to buy it. My teeth feel much cleaner. The taste is lovely and fresh. Having been recommended to floss more often (a process that's very difficult given my overcrowding) this toothpaste has really made an improvement to my oral freshness. As a regular colgate total user my tooth whiteness level has remained the same. What a great product.,5 stars
Deep Clean Feeling,13th June 2013,"After trying Colgate Interdental for a few weeks I was very impressed with the results, after brushing my teeth felt really clean almost like they do after having them cleaned at the dentist. My teeth appeared a lot brighter and my mouth felt very fresh, my only criticism is that I didn't enjoy the flavour and aftertaste as much as ordinary Colgate Total. Overall the clean feeling is very impressive.",4 stars
Liked It,13th June 2013,"The taste was good and my teeth felt clean but can't say I noticed any difference in the whiteness, but I'll keep on using it.",4 stars
As clean as the dentist!,13th June 2013,"This is the first toothpaste I have ever used that leaves my teeth feeling as though I've had a session with the dentist. I could almost feel the tartar and plaque disappearing as I brushed. Excellent. However, I haven't been able to find it in any of the shops yet :(",5 stars
whiter than white,13th June 2013,left teeth feeling whiter than white wish that you made this size available to buy as fits perfectly in makeup bag to freshen teeth during the working day,5 stars
Lovely fresh taste,13th June 2013,Colgate interdental leaves a lovely fresh taste in the mouth. Teeth feel cleaner and as it is more like a gel you do not use as much either so will be more economical.,4 stars
Fresh Breath,13th June 2013,"This toothpaste not only cleans well, but also leaves your mouth feeling fresh.",5 stars
a different product all around,13th June 2013,a tooth paste keep its promise and can feel the difference from day one. pleasant but hard working with a wonderful long lasting freshness,5 stars
Liking this product,13th June 2013,"I started using this a few weeks ago, its just give a longer clean feeling in your mouth and and the freshness is great",4 stars
its a real deep clezning product,13th June 2013,i found this to be the best from colgate and lasted the longest.,5 stars
Teeth Tingling Freshness,13th June 2013,Wow!! I love this toothpaste. The flavour and textures are not too strong or gritty and leave your mouth and teeth feeling squeaky clean and fresh. Absolutely love the long lasting freshness that you get long after brushing. They definitely looked lots brighter and I have gone out and bought a full size tube so once I have used that up I'm sure my teeth will be flashing smiles at everyone!!,5 stars
freshness,13th June 2013,"The toothpaste was great left my teeth feeling clean and my mouth clean, and the freshness lasted for a while.",4 stars
Unbeatable results!,13th June 2013,"As a smoker and constant drinker of coffee, I am very conscious of the effect these have on my teeth. I am constantly looking for products which are reasonably priced in order to keep my teeth white. I was slightly sceptical to the claims made by Colgate with this product, however I was more than pleasantly surprised. The toothpaste is pleasantly flavoured, not too strong or weak and left my mouth feeling clean and refreshed. The best bit though is how it manages to clean in between the teeth so effectively. The difference can be seen after only a few days of using. I would definately recommend this to anyone and everyone. Well done Colgate!",5 stars
http://www.colgate.co.uk/ColgateOralCare/Reviews/UK/EN/local,13th June 2013,a product that pleases a product that does the job 100% what it was made for now a must in our home,5 stars
Dentist Clean Feel!,13th June 2013,This product is amazingly effective. It is a product that actually delivers on all the promises. I was given a free sample and tried it and found it really works. I recommend it to all - especially if you want to keep your smile dazzling!,5 stars
Wow what a clean,13th June 2013,i usually use Colgate sensitive pro relief. I tried the new colgate total interdental and the experience was fantastic. my teeth and gums have never felt so clean and fresh. i will definitely be using this colgate product from now on. Thanks colgate.,5 stars
Lovely Clean Fresh Taste,13th June 2013,This product has great features it leaves your teeth feeling really smooth and clean. The taste is refreshing and leaves your mouth tingling with freshness. The taste lasted all morning and made me feel really confident when talking to colleagues. After using for a couple of weeks I have noticed the staining is less on my teeth and they are looking whiter.,5 stars
Colgate Total Cleaning Explosion,13th June 2013,"I tried the new Colgate Total Interdental toothpaste and was pleasantly surprised at how fresh I felt after brushing. Being a regular colgate user, I expected more of the same but this Interdental seems to have given a better clean and fresh taste. Will continue to use same, well done",4 stars
Interdental really works,13th June 2013,I liked this toothpaste for its deep cleansing properties that left my teeth feeling fresh even in between my teeth and with a long lasting flavour,5 stars
Colgate Interdental Toothpaste,13th June 2013,The Colgate Interdental Toothpaste is another great product from Colgate.,5 stars
Colgate Interdental,13th June 2013,Will certainly be getting a tube of this to give it a go for a longer period of time. Very impressed.,4 stars
tasty start to the day,13th June 2013,"Having tried this for over a week now I have found it to be excellent. The minty taste is very refreshing and long lasting and I found my teeth felt cleaner, shiny as if I had been to the dentist for a polish. My whole mouth felt good all day no matter what I ate or drank, very unique. I will definately be purchasing this.",5 stars
omg,13th June 2013,i have been using this also with total sesitive and mouthwash ive never had such a clean fresh mouth in my like,5 stars
tasty start to the day,13th June 2013,"Having tried this for over a week now I have found it to be excellent. The minty taste is very refreshing and long lasting and I found my teeth felt cleaner, shiny as if I had been to the dentist for a polish. My whole mouth felt good all day no matter what I ate or drank, very unique. I will definately be purchasing this.",5 stars
omg,13th June 2013,i have been using this also with total sesitive and mouthwash ive never had such a clean fresh mouth in my like,5 stars
New and effective,13th June 2013,A great product! Excellent freshness and mouth feel. A really pleasing effect overall leaving teeth feeling clean and fresh.,5 stars
this product cleansbetween your teeth,13th June 2013,I was a bit skeptical at first that this product could clean and feel clean rightbetween the teeth as soon as I got it I tried it and was really impressed with it my teeth inbetween felt clean as thouhh id used a interdental brush and I usually use them but had ran out it should be a top produvt,5 stars
Ms,13th June 2013,"Made my mouth feel really clean, and my teeth look shiny and polished!",4 stars
Teeth feel really clean!,13th June 2013,I love Colgate Total Interdental because it makes my teeth feel really clean. They feel smooth and polished when I finish brushing unlike some other toothpastes. Plus it tastes great too.,5 stars
smells and tastes great,13th June 2013,i wear dentures and found this foams and cleans well making my 'teeth' feel really smooth. i love the taste and my breath stays fresh all day. will definately continue to buy.,5 stars
BRILLIANT,13th June 2013,"COLGATE IS GETTING BETTER AND BETTER ,THIS IS BRILLIANT. CLEANS BETTER AND LEAVE MOUTH FRESHER",5 stars
More than it says on the packet,13th June 2013,"I had my doubts that this would be as good as advertised. I was proved wrong, I even used it on my dental plate and it made it fresh all day. After using my mouth felt tingly I had clean teeth and a very fresh breath. Would recommend it to anyone",5 stars
Interdental,13th June 2013,Good but not perfect flavour. I was not impressed with the grey colour.,4 stars
Interdental,13th June 2013,Good but not perfect flavour. I was not impressed with the grey colour.,4 stars
A unique clean,13th June 2013,Colgate Total Interdental offers a unique clean! Smooth feeling teeth all day and when you wake up in the morning!,5 stars
colgate total interdental,13th June 2013,"Lovely minty taste, and leaves your mouth feeling super fresh. Does have a 'bitty' texture but soon got used to this",4 stars
Good New Product,13th June 2013,"A very fresh & clean tasting toothpaste, getting the immediate feeling that it is working wonders on your teeth the minute you start brushing. Will definitely be purchasing the product from now on.",4 stars
Best Toothpaste,13th June 2013,"Wonderful toothpaste to use, especially when searching for a toothpaste that suits you with any tooth or gum problems. This toothpaste seems to be continually cleaning even when asleep and is a joy to brush again in the morning, refreshing the mouth and whitening those teeth.",5 stars
the product makes you feel refreshed,13th June 2013,the product is really good at cleaning your teeth and making your mouth feel fresh and so clean. The taste could be more friendly ie minty or more appealing. would recommend to my friends and family,4 stars
A definite must-have,13th June 2013,With a classic Colgate flavour this foaming paste cleans to the gumline and beyond. After using for just 2 days I found my teeth looked whiter and took longer to feel gritty. After a week I knew I wouldn't use anything else.,5 stars
one of the best product from colgate,13th June 2013,"i would definitely recommrnd this product to anyone, since I have been using Colgate from I was an infant...i have never experienced such a clean fresh feel for a very long time after using it.... Colgate Interdental is a winner",5 stars
Impressive,13th June 2013,"Really liked trying out he new Colgate Interdental Total. I think it is unique. My mouth felt clean and fresh. It had a good texture as find some toothpastes to be gritty, but this felt very smooth.",5 stars
true for what is written on it!,13th June 2013,"Amazing toothpaste can't believe it does what is written on it i have tried others but after a few hours my mouth was the same :bad breath but with interdental i have a clean feal all day and no bad breath ,love it",5 stars
What a different experience,13th June 2013,"Trying this product for the first time, wow. Bursting with a sparkling fizz which I have never experienced before, leaving my mouth and teeth feeling fresh and clean for longer",5 stars
Amazingly white teeth,13th June 2013,Left my teeth feeling squeaky clean with visibly improved whiteness after just one use,5 stars
Brilliant Blew me away,13th June 2013,"this toothpaste was great left me mouth and teeth feeling really clean long lasting freshness, would recommend to anyone to use! will be my main brand of toothpaste i will be buying for the foreseeable Future! well done Colgate keep up the good work",5 stars
Teeth Tingling Freshness,13th June 2013,Wow!! I love this toothpaste. The flavour and textures are not too strong or gritty and leave your mouth and teeth feeling squeaky clean and fresh. Absolutely love the long lasting freshness that you get long after brushing. They definitely looked lots brighter and I have gone out and bought a full size tube so once I have used that up I'm sure my teeth will be flashing smiles at everyone!!,5 stars
Liked It,13th June 2013,"The taste was good and my teeth felt clean but can't say I noticed any difference in the whiteness, but I'll keep on using it.",4 stars
Whiter Teeth,13th June 2013,"I didn't belief that this product would whiten my teeth,I was wrong,it Did.What more can you say,something that does what it says on the label",5 stars
Sooooo Clean,13th June 2013,I didn't know what to expect from this toothpaste but boy was i impressed. I started brushing and thought it is very like any other toothpaste. I rinsed my brush and then the magic happened. As I continued to clean the product literally filled my mouth with a gentle foam cleaning everywhere just like a pleasant mouthwash. I was surprised how much my teeth felt clean - better than my previous toothpaste and I thought that was good. I was also pleased with how white my teeth were even after one use. Overall this is probably the best toothpaste I have ever used. Absolutely love it.,5 stars
Tasty !!!!,13th June 2013,"Loved the fresh yet not too minty taste, but for me the texture was way too thick.",3 stars
colgate total interdental,13th June 2013,"Lovely minty taste, and leaves your mouth feeling super fresh. Does have a 'bitty' texture but soon got used to this",4 stars
one of the best product from colgate,13th June 2013,"i would definitely recommrnd this product to anyone, since I have been using Colgate from I was an infant...i have never experienced such a clean fresh feel for a very long time after using it.... Colgate Interdental is a winner",5 stars
Colgate Interdental Toothpaste,13th June 2013,The Colgate Interdental Toothpaste is another great product from Colgate.,5 stars
Unbeatable results!,13th June 2013,"As a smoker and constant drinker of coffee, I am very conscious of the effect these have on my teeth. I am constantly looking for products which are reasonably priced in order to keep my teeth white. I was slightly sceptical to the claims made by Colgate with this product, however I was more than pleasantly surprised. The toothpaste is pleasantly flavoured, not too strong or weak and left my mouth feeling clean and refreshed. The best bit though is how it manages to clean in between the teeth so effectively. The difference can be seen after only a few days of using. I would definately recommend this to anyone and everyone. Well done Colgate!",5 stars
http://www.colgate.co.uk/ColgateOralCare/Reviews/UK/EN/local,13th June 2013,a product that pleases a product that does the job 100% what it was made for now a must in our home,5 stars
Deep Clean Feeling,13th June 2013,"After trying Colgate Interdental for a few weeks I was very impressed with the results, after brushing my teeth felt really clean almost like they do after having them cleaned at the dentist. My teeth appeared a lot brighter and my mouth felt very fresh, my only criticism is that I didn't enjoy the flavour and aftertaste as much as ordinary Colgate Total. Overall the clean feeling is very impressive.",4 stars
Total Interdental,13th June 2013,"I enjoyed using the product. Although it left my mouth feeling clean, I expected my mouth to feel a lot cleaner than it did. I expected there to be little bits in the actual paste to clean and leave my mouth cleaner. I would recommend this toothpaste to friends and family.",4 stars
"Fantastic Interdental tooth ""scrub""",13th June 2013,"I loved this product because I have a back bar after having braces on my teeth so this toothpaste really helps get into the grooves and give my teeth a really good clean almost like a scrub! It helped rid any food particles that got stuck in my back bar, equally a great toothpaste for my teeth and literally left my teeth squeaky clean and shiny! I would recommend this product as my teeth felt like they've had a professional clean, and my breath was fresh!",5 stars
Mint taste - white smile,13th June 2013,The taste in the paste is very minty but the texture is almost scaley. It's a little harsh around the gums but all in all the sense of cleanliness afterwards is awesome. You get the feeling that with prolonged usage the smile will become whiter and that there will be plenty of benefits of using this in the future,4 stars
Dentist Clean Feel!,13th June 2013,This product is amazingly effective. It is a product that actually delivers on all the promises. I was given a free sample and tried it and found it really works. I recommend it to all - especially if you want to keep your smile dazzling!,5 stars
Colgate® Total® Interdental Toothpaste,13th June 2013,"Great idea,like the taste and feel. But my teeth and mouth didnt feel that clean",4 stars
Colgate® Total® Interdental Toothpaste,13th June 2013,This toothpaste made my teeth feel really clean & the feeling lasted for several hrs.,5 stars
true for what is written on it!,13th June 2013,"Amazing toothpaste can't believe it does what is written on it i have tried others but after a few hours my mouth was the same :bad breath but with interdental i have a clean feal all day and no bad breath ,love it",5 stars
Colgateจ Totalจ Interdental Toothpaste,13th June 2013,"Great idea,like the taste and feel. But my teeth and mouth didnt feel that clean",4 stars
Best Toothpaste,13th June 2013,"Wonderful toothpaste to use, especially when searching for a toothpaste that suits you with any tooth or gum problems. This toothpaste seems to be continually cleaning even when asleep and is a joy to brush again in the morning, refreshing the mouth and whitening those teeth.",5 stars
Colgate Total Cleaning Explosion,13th June 2013,"I tried the new Colgate Total Interdental toothpaste and was pleasantly surprised at how fresh I felt after brushing. Being a regular colgate user, I expected more of the same but this Interdental seems to have given a better clean and fresh taste. Will continue to use same, well done",4 stars
its a real deep clezning product,13th June 2013,i found this to be the best from colgate and lasted the longest.,5 stars
a different product all around,13th June 2013,a tooth paste keep its promise and can feel the difference from day one. pleasant but hard working with a wonderful long lasting freshness,5 stars
As clean as the dentist!,13th June 2013,"This is the first toothpaste I have ever used that leaves my teeth feeling as though I've had a session with the dentist. I could almost feel the tartar and plaque disappearing as I brushed. Excellent. However, I haven't been able to find it in any of the shops yet :(",5 stars
A definite must-have,13th June 2013,With a classic Colgate flavour this foaming paste cleans to the gumline and beyond. After using for just 2 days I found my teeth looked whiter and took longer to feel gritty. After a week I knew I wouldn't use anything else.,5 stars
"A fresh, clean feeling!",13th June 2013,I loved this product. It gave a lovely fresh feeling to my mouth & my teeth were smooth after brushing with no tartar residue. The clean feeling and fresh taste lingered for a long time and I felt confident well into the morning.,5 stars
What a different experience,13th June 2013,"Trying this product for the first time, wow. Bursting with a sparkling fizz which I have never experienced before, leaving my mouth and teeth feeling fresh and clean for longer",5 stars
Colgate® Total® Interdental Toothpaste,13th June 2013,This toothpaste made my teeth feel really clean & the feeling lasted for several hrs.,5 stars
true for what is written on it!,13th June 2013,"Amazing toothpaste can't believe it does what is written on it i have tried others but after a few hours my mouth was the same :bad breath but with interdental i have a clean feal all day and no bad breath ,love it",5 stars
Colgateจ Totalจ Interdental Toothpaste,13th June 2013,"Great idea,like the taste and feel. But my teeth and mouth didnt feel that clean",4 stars
Best Toothpaste,13th June 2013,"Wonderful toothpaste to use, especially when searching for a toothpaste that suits you with any tooth or gum problems. This toothpaste seems to be continually cleaning even when asleep and is a joy to brush again in the morning, refreshing the mouth and whitening those teeth.",5 stars
